iteration,reward_mean,reward_dev,wins,draws,loss
51500,0.0,10.0,5,0,1.8374500274658203
52000,2.0,9.8,6,0,1.3705699443817139
52500,4.0,9.17,7,0,1.4565600156784058
53000,1.0,9.43,5,1,1.2760299444198608
53500,0.0,10.0,5,0,1.593690037727356
54000,3.0,9.0,6,1,2.168950080871582
54500,2.0,9.8,6,0,1.4160000085830688
55000,0.0,10.0,5,0,0.9930899739265442
55500,-3.0,9.0,3,1,1.5737099647521973
56000,4.0,9.17,7,0,1.506160020828247
56500,2.0,9.8,6,0,0.8109099864959717
57000,-2.0,9.8,4,0,1.5065200328826904
57500,0.0,8.94,4,2,0.8809199929237366
58000,2.0,9.8,6,0,1.0816099643707275
58500,-2.0,9.8,4,0,1.229099988937378
59000,2.0,9.8,6,0,1.624750018119812
59500,6.0,8.0,8,0,1.550220012664795
60000,2.0,8.72,5,2,1.34375
60500,6.0,8.0,8,0,2.6511199474334717
61000,2.0,8.72,5,2,0.9003999829292297
61500,0.0,10.0,5,0,0.9728699922561646
62000,1.0,9.43,5,1,1.7216500043869019
62500,4.0,9.17,7,0,1.111680030822754
63000,-2.0,9.8,4,0,1.0484399795532227
63500,0.0,8.94,4,2,1.2495900392532349
64000,6.0,6.63,7,2,1.6579099893569946
64500,0.0,10.0,5,0,1.1637500524520874
65000,4.0,9.17,7,0,1.492799997329712
65500,0.0,10.0,5,0,1.7689900398254395
66000,2.0,9.8,6,0,0.8741099834442139
66500,2.0,9.8,6,0,1.699530005455017
67000,-1.0,8.31,3,3,2.154680013656616
67500,0.0,10.0,5,0,1.611930012702942
68000,4.0,9.17,7,0,1.8616399765014648
68500,9.0,3.0,9,1,2.0081100463867188
69000,7.0,6.4,8,1,1.8487399816513062
69500,1.0,8.31,4,3,1.0932999849319458
70000,4.0,9.17,7,0,2.158799886703491
70500,0.0,10.0,5,0,0.8614500164985657
71000,5.0,6.71,6,3,0.5931100249290466
71500,5.0,8.06,7,1,1.1316200494766235
72000,2.0,9.8,6,0,1.3785799741744995
72500,5.0,8.06,7,1,1.650480031967163
73000,5.0,8.06,7,1,1.4292999505996704
73500,2.0,9.8,6,0,1.718269944190979
74000,-1.0,8.31,3,3,1.6735600233078003
74500,1.0,9.43,5,1,1.6930500268936157
75000,3.0,9.0,6,1,1.775979995727539
75500,2.0,9.8,6,0,1.812540054321289
76000,6.0,8.0,8,0,1.0042500495910645
76500,4.0,9.17,7,0,1.395490050315857
77000,6.0,8.0,8,0,1.606410026550293
77500,10.0,0.0,10,0,1.140239953994751
78000,2.0,9.8,6,0,0.951740026473999
78500,2.0,9.8,6,0,1.400320053100586
79000,4.0,9.17,7,0,1.1277799606323242
79500,7.0,6.4,8,1,1.1720999479293823
80000,0.0,10.0,5,0,1.536769986152649
80500,6.0,8.0,8,0,1.2782800197601318
81000,5.0,8.06,7,1,0.8920199871063232
81500,4.0,9.17,7,0,1.255370020866394
82000,5.0,6.71,6,3,1.470229983329773
82500,-1.0,9.43,4,1,1.250190019607544
83000,3.0,9.0,6,1,1.6597199440002441
83500,4.0,9.17,7,0,1.268030047416687
84000,1.0,9.43,5,1,1.6199500560760498
84500,2.0,9.8,6,0,0.9439799785614014
85000,4.0,9.17,7,0,1.498610019683838
85500,1.0,9.43,5,1,1.4955099821090698
86000,8.0,6.0,9,0,0.8568599820137024
86500,2.0,8.72,5,2,1.0172100067138672
87000,3.0,7.81,5,3,0.7407600283622742
87500,3.0,9.0,6,1,1.199530005455017
88000,7.0,6.4,8,1,0.8315799832344055
88500,-4.0,9.17,3,0,1.2920900583267212
89000,-2.0,9.8,4,0,1.91143000125885
89500,8.0,6.0,9,0,1.1865400075912476
90000,4.0,8.0,6,2,1.2162400484085083
90500,2.0,9.8,6,0,0.980239987373352
91000,-1.0,9.43,4,1,1.5629099607467651
91500,1.0,8.31,4,3,0.6905900239944458
92000,0.0,10.0,5,0,1.2551699876785278
92500,7.0,6.4,8,1,1.4613300561904907
93000,4.0,9.17,7,0,1.241260051727295
93500,6.0,8.0,8,0,0.9218299984931946
94000,7.0,6.4,8,1,0.7443900108337402
94500,4.0,9.17,7,0,0.9217900037765503
95000,6.0,8.0,8,0,1.8820799589157104
95500,8.0,6.0,9,0,1.1828299760818481
96000,7.0,6.4,8,1,0.8238700032234192
96500,7.0,6.4,8,1,1.6826200485229492
97000,2.0,8.72,5,2,1.2234100103378296
97500,6.0,8.0,8,0,1.3818000555038452
98000,2.0,9.8,6,0,1.5770000219345093
98500,6.0,8.0,8,0,1.0571099519729614
99000,8.0,6.0,9,0,1.3408000469207764
99500,6.0,8.0,8,0,0.868690013885498
100000,6.0,8.0,8,0,1.2769099473953247
